"Consequent","implies","Items (#1)","Support","Confidence","Lift"
"poultry","<---","all- purpose",0.17559262510974538,0.46838407494145196,1.1114363778298204
"yogurt","<---","aluminum foil",0.17734855136084285,0.4611872146118722,1.1992973457600968
"ice cream","<---","aluminum foil",0.17647058823529413,0.45890410958904115,1.1513034819866033
"poultry","<---","aluminum foil",0.17559262510974538,0.45662100456621,1.0835235920852357
"poultry","<---","beef",0.17032484635645304,0.45433255269320844,1.0780932864949258
"poultry","<---","butter",0.16593503072870938,0.45107398568019086,1.070360978520286
"poultry","<---","cereals",0.18086040386303776,0.4567627494456763,1.083859940872136
"ice cream","<---","cheeses, aluminum foil",0.09043020193151888,0.533678756476684,1.3388989066672754
"ice cream","<---","cheeses",0.1791044776119403,0.4584269662921348,1.150106419838638
"poultry","<---","cheeses",0.18086040386303776,0.46292134831460674,1.0984737827715356
"waffles","<---","coffee/tea",0.17208077260755048,0.45370370370370366,1.1509321125134042
"poultry","<---","coffee/tea",0.17471466198419666,0.4606481481481481,1.0930796682098765
"poultry","<---","dinner rolls, cereals",0.09218612818261633,0.5384615384615384,1.277724358974359
"poultry","<---","dinner rolls, laundry detergent",0.08955223880597014,0.5425531914893617,1.2874335106382977
"poultry","<---","dinner rolls, lunch meat",0.0913081650570676,0.5621621621621622,1.333963963963964
"poultry","<---","dinner rolls, mixes",0.09043020193151888,0.5567567567567568,1.3211373873873875
"eggs","<---","dinner rolls, pasta",0.0913081650570676,0.5279187817258882,1.3542781360040241
"soda","<---","dinner rolls, pasta",0.09043020193151888,0.5228426395939086,1.3382421719044089
"spaghetti sauce","<---","dinner rolls, poultry",0.09920983318700614,0.509009009009009,1.3641441441441442
"shampoo","<---","dinner rolls, poultry",0.08955223880597014,0.45945945945945943,1.246010296010296
"mixes","<---","dinner rolls, poultry",0.09043020193151888,0.463963963963964,1.2347078386798014
"laundry detergent","<---","dinner rolls, poultry",0.08955223880597014,0.45945945945945943,1.2142095691979682
"eggs","<---","dinner rolls, poultry",0.0913081650570676,0.46846846846846846,1.201769336904472
"cereals","<---","dinner rolls, poultry",0.09218612818261633,0.47297297297297297,1.1944927188829628
"lunch meat","<---","dinner rolls, poultry",0.0913081650570676,0.46846846846846846,1.1857457457457456
"pasta","<---","dinner rolls, soda",0.09043020193151888,0.5282051282051282,1.422282839304116
"eggs","<---","dinner rolls, soda",0.09482001755926252,0.5538461538461539,1.4207900207900208
"poultry","<---","dinner rolls, spaghetti sauce",0.09920983318700614,0.576530612244898,1.3680590986394559
"poultry","<---","dinner rolls",0.19490781387181738,0.5011286681715575,1.1891365688487583
"poultry","<---","dishwashing liquid/detergent, cereals",0.09043020193151888,0.533678756476684,1.2663752158894646
"poultry","<---","dishwashing liquid/detergent, lunch meat",0.08955223880597014,0.5151515151515151,1.222411616161616
"poultry","<---","dishwashing liquid/detergent, mixes",0.09482001755926252,0.526829268292683,1.2501219512195123
"mixes","<---","dishwashing liquid/detergent, poultry",0.09482001755926252,0.5070422535211268,1.3493484270106622
"cereals","<---","dishwashing liquid/detergent, poultry",0.09043020193151888,0.4835680751173709,1.2212506376024068
"lunch meat","<---","dishwashing liquid/detergent, poultry",0.08955223880597014,0.4788732394366197,1.2120813771517995
"mixes","<---","dishwashing liquid/detergent",0.17998244073748904,0.4638009049773756,1.234273903666427
"waffles","<---","dishwashing liquid/detergent",0.17559262510974538,0.4524886877828054,1.147849922905602
"poultry","<---","dishwashing liquid/detergent",0.18700614574187885,0.4819004524886878,1.1435096153846154
"pasta","<---","eggs, dinner rolls",0.0913081650570676,0.5252525252525252,1.4143324497934426
"soda","<---","eggs, dinner rolls",0.09482001755926252,0.5454545454545455,1.39611848825332
"poultry","<---","eggs, dinner rolls",0.0913081650570676,0.5252525252525252,1.2463804713804711
"soda","<---","eggs, ice cream",0.08955223880597014,0.5368421052631578,1.3740745121230038
"dinner rolls","<---","eggs, pasta",0.0913081650570676,0.538860103626943,1.3854664966841719
"soda","<---","eggs, pasta",0.08955223880597014,0.5284974093264249,1.3527158409501077
"dinner rolls","<---","eggs, poultry",0.0913081650570676,0.5174129353233831,1.3303235515425131
"soda","<---","eggs, poultry",0.0913081650570676,0.5174129353233831,1.3243445692883895
"soda","<---","eggs, soap",0.09218612818261633,0.5526315789473684,1.4144884683619159
"dinner rolls","<---","eggs, soda",0.09482001755926252,0.5070422535211268,1.3036594283534162
"soap","<---","eggs, soda",0.09218612818261633,0.49295774647887325,1.2997196139801772
"pasta","<---","eggs, soda",0.08955223880597014,0.4788732394366197,1.2894482735657444
"ice cream","<---","eggs, soda",0.08955223880597014,0.4788732394366197,1.2014022460755724
"poultry","<---","eggs, soda",0.0913081650570676,0.488262910798122,1.1586071987480437
"soda","<---","eggs",0.18700614574187885,0.47972972972972977,1.227892499240814
"poultry","<---","eggs",0.17647058823529413,0.45270270270270274,1.0742257882882884
"cheeses","<---","flour",0.15978928884986832,0.4527363184079602,1.158801498127341
"bagels","<---","fruits",0.16769095697980685,0.45260663507109006,1.1743028641138304
"dishwashing liquid/detergent","<---","fruits",0.16769095697980685,0.45260663507109006,1.1663324826831936
"poultry","<---","fruits",0.16769095697980685,0.45260663507109006,1.0739978278041074
"cheeses","<---","ice cream, aluminum foil",0.09043020193151888,0.5124378109452736,1.3116104868913858
